Genes	dNdS
Solyc01g009340	0.29423
Solyc01g009370	0.14072
Solyc01g009380	0.25893
Solyc01g009390	0.22857
Solyc01g009400	0.00010
Solyc01g009410	16.90384
Solyc01g009420	0.02095
Solyc01g009430	0.44675
Solyc01g009440	0.00010
Solyc01g009450	0.08172
Solyc01g009480	0.09162
Solyc01g009500	0.01547
Solyc01g009520	0.04396
Solyc01g009590	1.81770
Solyc01g009600	0.03751
Solyc01g009610	0.86106
Solyc01g009620	0.11429
Solyc01g009630	0.04491
Solyc01g009670	0.19622
Solyc01g009690	999.00000
Solyc01g009700	0.00010
Solyc01g009720	0.15697
Solyc01g009750	0.07213
Solyc01g009760	0.27579
Solyc01g009770	0.21848
Solyc01g009780	0.07425
Solyc01g009820	0.14702
Solyc01g009860	0.32815
Solyc01g009870	0.77771
Solyc01g009880	0.49408
Solyc01g009890	0.00010
Solyc01g009900	0.00010
Solyc01g009920	0.25721
Solyc01g009970	0.28384
Solyc01g009990	0.06732
Solyc01g010000	0.03358
Solyc01g010020	0.17659
Solyc01g010030	0.34295
Solyc01g010060	0.26453
Solyc01g010080	0.06920
Solyc01g010130	0.46481
Solyc01g010150	0.26141
Solyc01g010180	0.34166
Solyc01g010190	0.46332
Solyc01g010200	0.65710
Solyc01g010220	0.82813
Solyc01g010230	0.24604
Solyc01g010240	0.35341
Solyc01g010250	0.03663
Solyc01g010270	1.15330
Solyc01g010280	0.91470
Solyc01g010290	0.10828
Solyc01g010310	0.53147
Solyc01g010350	0.21030
Solyc01g010360	0.06258
Solyc01g010370	0.13628
Solyc01g010390	0.11576
Solyc01g010410	0.00010
Solyc01g010430	0.23269
Solyc01g010440	0.13437
Solyc01g010460	0.60341
Solyc01g010470	1.31812
Solyc01g010480	0.63497
Solyc01g010500	0.21960
Solyc01g010510	0.23524
Solyc01g010520	0.08195
Solyc01g010540	0.00010
Solyc01g010570	0.24720
Solyc01g010580	0.00010
Solyc01g010590	0.36115
Solyc01g010600	1.33166
Solyc01g010640	0.18986
Solyc01g010650	0.12037
Solyc01g010660	0.07131
Solyc01g010700	0.19270
Solyc01g010710	0.16908
Solyc01g010740	0.27050
Solyc01g010750	0.23779
Solyc01g010760	0.00010
Solyc01g010770	1.39473
Solyc01g010780	0.35448
Solyc01g010810	0.24885
Solyc01g010820	0.00010
Solyc01g010830	0.18344
Solyc01g010860	0.03231
Solyc01g010870	0.23115
Solyc01g010880	0.00010
Solyc01g010890	0.32880
Solyc01g010900	0.11738
Solyc01g010910	0.05359
Solyc01g010920	0.26324
Solyc01g010930	0.00010
Solyc01g010940	0.16477
Solyc01g010950	0.04883
Solyc01g010970	0.21992
Solyc01g010990	0.04958
Solyc01g011000	0.00010
Solyc01g011030	0.09381
Solyc01g011040	0.00010
Solyc01g011050	0.45219
Solyc01g011090	0.17522
Solyc01g011100	0.16449
Solyc01g011200	0.24782
Solyc01g011220	0.88380
Solyc01g011340	0.00010
Solyc01g011350	0.17698
Solyc01g011390	0.51967
Solyc01g011410	0.00010
Solyc01g011430	0.23088
Solyc01g011510	0.21380
Solyc01g014100	0.14192
Solyc01g014110	0.23293
Solyc01g014120	0.11478
Solyc01g014180	0.00010
Solyc01g014230	0.30890
Solyc01g014290	0.42499
Solyc01g014380	0.13793
Solyc01g014480	0.83257
Solyc01g014490	0.12183
Solyc01g014560	0.40176
Solyc01g014620	0.93341
Solyc01g014840	0.29955
Solyc01g014850	0.17089
Solyc01g015020	0.29348
Solyc01g015080	0.11901
Solyc01g016370	0.48389
Solyc01g016410	0.82674
Solyc01g016510	0.00010
Solyc01g016530	0.72407
Solyc01g016540	0.96490
Solyc01g017320	0.40190
Solyc01g017330	0.00010
Solyc01g017600	0.08119
Solyc01g017870	0.50877
Solyc01g020130	0.24362
Solyc01g020190	0.00010
Solyc01g020220	0.19983
Solyc01g020240	0.13899
Solyc01g020340	0.23447
Solyc01g020440	0.28172
Solyc01g020520	0.74607
Solyc01g021600	0.60465
Solyc01g021640	0.48004
Solyc01g021670	0.28830
Solyc01g021730	0.24405
Solyc01g022740	0.08138
Solyc01g022750	0.10474
Solyc01g028800	1.24056
Solyc01g028810	0.16442
Solyc01g028830	0.21991
Solyc01g028860	0.22243
Solyc01g028870	0.71967
Solyc01g028900	0.23111
Solyc01g028930	0.00010
Solyc01g034020	0.00010
Solyc01g034080	0.26458
Solyc01g034150	0.72451
Solyc01g044250	0.00010
Solyc01g044270	0.81224
Solyc01g044340	999.00000
Solyc01g044350	0.48912
Solyc01g044360	0.02112
Solyc01g044370	0.86925
Solyc01g044520	0.22036
Solyc01g048590	0.00010
Solyc01g049650	0.03791
Solyc01g049680	0.62351
Solyc01g049690	0.00010
Solyc01g049810	1.01315
Solyc01g049820	0.36151
Solyc01g049890	0.36175
Solyc01g049960	0.00010
Solyc01g056310	0.05461
Solyc01g056340	0.73915
Solyc01g056360	0.22424
Solyc01g056520	0.34737
Solyc01g056570	0.60299
Solyc01g056600	0.27774
Solyc01g056620	999.00000
Solyc01g056690	0.16886
Solyc01g056720	0.30497
Solyc01g056780	0.26446
Solyc01g056790	1.52127
Solyc01g056800	0.92995
Solyc01g056810	0.16612
Solyc01g056850	0.08844
Solyc01g056940	0.00010
Solyc01g056990	0.75539
Solyc01g057000	0.00010
Solyc01g057020	0.40601
Solyc01g057040	0.54744
Solyc01g057090	0.25469
Solyc01g057200	0.88642
Solyc01g057210	0.14488
Solyc01g057220	0.20413
Solyc01g057280	999.00000
Solyc01g057310	0.36487
Solyc01g057320	0.24575
Solyc01g057520	0.41936
Solyc01g057570	0.28070
Solyc01g057760	0.08374
Solyc01g057770	0.20818
Solyc01g057780	0.55560
Solyc01g057830	0.08709
Solyc01g057840	0.31296
Solyc01g057850	0.90499
Solyc01g057900	0.14305
Solyc01g057910	0.09359
Solyc01g058010	0.33222
Solyc01g058020	0.08940
Solyc01g058030	0.00010
Solyc01g058040	0.32714
Solyc01g058140	0.24183
Solyc01g058160	0.29563
Solyc01g058190	0.39729
Solyc01g058250	0.19962
Solyc01g058260	0.40323
Solyc01g058270	0.56500
Solyc01g058280	0.00010
Solyc01g058320	0.58330
Solyc01g058390	0.08947
Solyc01g058450	0.38754
Solyc01g058520	0.13311
Solyc01g058540	999.00000
Solyc01g058670	0.31022
Solyc01g058720	0.21680
Solyc01g058730	0.22075
Solyc01g059830	1.20854
Solyc01g059860	0.27649
Solyc01g059870	0.07583
Solyc01g059880	0.06400
Solyc01g059900	0.00010
Solyc01g059910	0.18550
Solyc01g059920	0.25579
Solyc01g059930	0.03182
Solyc01g059940	0.15309
Solyc01g060030	0.07288
Solyc01g060040	0.41054
Solyc01g060050	0.20448
Solyc01g060070	0.16057
Solyc01g060080	0.35817
Solyc01g060090	0.00010
Solyc01g060140	0.53803
Solyc01g060170	0.00010
Solyc01g060180	0.14857
Solyc01g060200	1.82177
Solyc01g060250	1.20786
Solyc01g060260	0.62700
Solyc01g060280	0.20577
Solyc01g060410	0.45031
Solyc01g060450	0.40219
Solyc01g060460	0.00010
Solyc01g060470	0.00010
Solyc01g060490	0.73694
Solyc01g065490	0.18854
Solyc01g065500	0.19042
Solyc01g065510	0.19649
Solyc01g065530	0.08022
Solyc01g065540	0.26593
Solyc01g065550	0.23952
Solyc01g065560	0.17298
Solyc01g065570	0.43255
Solyc01g065580	0.23259
Solyc01g065690	0.70081
Solyc01g065700	0.17005
Solyc01g065710	0.00010
Solyc01g065720	0.06383
Solyc01g065740	0.39247
Solyc01g065840	0.77698
Solyc01g065980	0.19027
Solyc01g066050	0.28819
Solyc01g066060	0.10134
Solyc01g066070	0.08398
Solyc01g066270	0.31970
Solyc01g066290	0.47532
Solyc01g066310	0.28424
Solyc01g066360	0.33279
Solyc01g066390	1.08545
Solyc01g066410	0.29024
Solyc01g066420	0.50845
Solyc01g066430	0.21042
Solyc01g066440	0.58310
Solyc01g066450	0.14812
Solyc01g066460	0.11640
Solyc01g066470	0.00010
Solyc01g066480	0.11922
Solyc01g066510	0.45842
Solyc01g066520	0.30697
Solyc01g066560	1.00781
Solyc01g066570	0.44888
Solyc01g066590	0.09177
Solyc01g066640	0.20391
Solyc01g066680	0.47666
Solyc01g066700	0.00010
Solyc01g066710	1.09856
Solyc01g066720	0.21867
Solyc01g066730	0.50088
Solyc01g066740	0.40275
Solyc01g066760	0.03444
Solyc01g066810	0.36221
Solyc01g066820	0.36458
Solyc01g066830	0.31315
Solyc01g066840	0.00010
Solyc01g066850	0.31569
Solyc01g066860	0.14684
Solyc01g066870	0.26256
Solyc01g066880	0.16455
Solyc01g066900	0.08680
Solyc01g066910	0.67831
Solyc01g066940	0.10271
Solyc01g066970	0.27312
Solyc01g066980	0.06325
Solyc01g067000	0.28109
Solyc01g067010	0.25055
Solyc01g067020	0.25410
Solyc01g067070	0.17633
Solyc01g067080	0.27029
Solyc01g067090	0.31482
Solyc01g067100	0.00010
Solyc01g067120	0.10409
Solyc01g067130	0.00010
Solyc01g067200	0.41940
Solyc01g067230	0.93535
Solyc01g067280	0.12711
Solyc01g067290	0.25479
Solyc01g067300	0.21102
Solyc01g067330	0.07916
Solyc01g067360	0.05757
Solyc01g067370	1.74209
Solyc01g067380	0.06583
Solyc01g067390	0.03696
Solyc01g067400	0.16951
Solyc01g067410	0.00010
Solyc01g067420	0.00010
Solyc01g067440	0.14370
Solyc01g067460	0.30453
Solyc01g067480	0.09149
Solyc01g067490	0.28401
Solyc01g067500	0.00010
Solyc01g067510	0.12585
Solyc01g067520	0.47377
Solyc01g067530	0.43155
Solyc01g067540	0.36409
Solyc01g067550	0.05961
Solyc01g067580	0.26071
Solyc01g067590	0.24033
Solyc01g067600	0.41464
Solyc01g067610	0.25520
Solyc01g067620	0.24380
Solyc01g067630	0.42866
Solyc01g067640	0.12254
Solyc01g067660	0.20221
Solyc01g067690	0.31334
Solyc01g067700	0.30688
Solyc01g067710	0.01653
Solyc01g067720	0.40312
Solyc01g067730	0.09208
Solyc01g067740	0.00010
Solyc01g067750	0.16012
Solyc01g067780	0.00010
Solyc01g067790	0.40671
Solyc01g067800	0.28617
Solyc01g067820	0.12004
Solyc01g067830	0.37834
Solyc01g067860	0.22357
Solyc01g067870	0.11709
Solyc01g067890	0.10257
Solyc01g067900	0.84904
Solyc01g067930	0.01692
Solyc01g068000	0.02545
Solyc01g068020	0.23594
Solyc01g068030	0.18417
Solyc01g068040	0.13171
Solyc01g068050	0.20246
Solyc01g068060	0.12962
Solyc01g068070	0.49542
Solyc01g068080	0.20748
Solyc01g068100	0.08775
Solyc01g068110	2.21135
Solyc01g068120	0.50919
Solyc01g068130	0.13701
Solyc01g068140	0.27141
Solyc01g068150	0.58857
Solyc01g068160	0.16060
Solyc01g068170	0.49724
Solyc01g068180	0.55564
Solyc01g068190	0.00010
Solyc01g068200	0.19820
Solyc01g068210	0.03847
Solyc01g068240	0.29387
Solyc01g068250	0.15755
Solyc01g068260	0.24734
Solyc01g068270	0.19449
Solyc01g068280	0.23029
Solyc01g068290	0.09754
Solyc01g068320	0.13106
Solyc01g068330	0.06605
Solyc01g068340	0.27704
Solyc01g068350	0.35972
Solyc01g068360	0.22743
Solyc01g068370	0.65946
Solyc01g068380	0.08599
Solyc01g068390	0.32168
Solyc01g068400	0.28103
Solyc01g068410	0.10195
Solyc01g068440	0.23177
Solyc01g068450	0.45939
Solyc01g068460	0.62509
Solyc01g068470	0.91278
Solyc01g068480	0.11603
Solyc01g068490	0.72754
Solyc01g068500	0.13245
Solyc01g068510	0.54656
Solyc01g068530	0.00010
Solyc01g068540	0.50480
Solyc01g068550	0.00010
Solyc01g068580	0.07045
Solyc01g068600	0.05979
Solyc01g068610	0.29399
Solyc01g068620	0.34326
Solyc01g068630	0.14134
Solyc01g068640	0.32595
Solyc01g073640	0.11032
Solyc01g073650	0.13354
Solyc01g073660	0.16163
Solyc01g073670	0.59762
Solyc01g073690	0.22648
Solyc01g073700	0.06626
Solyc01g073710	0.05907
Solyc01g073720	0.48538
Solyc01g073730	0.08564
Solyc01g073740	0.08879
Solyc01g073750	0.10317
Solyc01g073770	0.22882
Solyc01g073780	0.51915
Solyc01g073800	999.00000
Solyc01g073810	0.10861
Solyc01g073820	0.49594
Solyc01g073830	0.33312
Solyc01g073840	0.00010
Solyc01g073870	0.29109
Solyc01g073880	0.14287
Solyc01g073890	0.38784
Solyc01g073900	0.13132
Solyc01g073910	0.06892
Solyc01g073920	0.40248
Solyc01g073930	0.24826
Solyc01g073940	0.71268
Solyc01g073950	0.27035
Solyc01g073960	0.04279
Solyc01g074000	0.00010
Solyc01g074010	0.17984
Solyc01g074020	0.21651
Solyc01g074030	0.10425
Solyc01g079060	0.71429
Solyc01g079070	0.89376
Solyc01g079080	999.00000
Solyc01g079090	0.14285
Solyc01g079100	0.03601
Solyc01g079110	0.00010
Solyc01g079130	0.00010
Solyc01g079140	0.12857
Solyc01g079150	0.14834
Solyc01g079160	0.00010
Solyc01g079170	0.05527
Solyc01g079180	0.40749
Solyc01g079200	0.23389
Solyc01g079210	0.36999
Solyc01g079220	0.14473
Solyc01g079230	0.38724
Solyc01g079240	0.12840
Solyc01g079250	0.00010
Solyc01g079260	0.26761
Solyc01g079270	0.73466
Solyc01g079290	0.22982
Solyc01g079300	0.68197
Solyc01g079310	0.42164
Solyc01g079320	0.30362
Solyc01g079330	0.18738
Solyc01g079340	0.20044
Solyc01g079350	0.19404
Solyc01g079360	0.15363
Solyc01g079370	0.43413
Solyc01g079390	0.28236
Solyc01g079400	0.52474
Solyc01g079410	0.27823
Solyc01g079430	0.32925
Solyc01g079450	0.22324
Solyc01g079460	0.43033
Solyc01g079470	0.08911
Solyc01g079480	0.00010
Solyc01g079490	0.19385
Solyc01g079500	0.07653
Solyc01g079510	0.35188
Solyc01g079520	0.22940
Solyc01g079530	0.06404
Solyc01g079540	0.00010
Solyc01g079550	0.15126
Solyc01g079570	0.06692
Solyc01g079580	0.26514
Solyc01g079590	0.08238
Solyc01g079600	0.30360
Solyc01g079610	0.00010
Solyc01g079620	0.13789
Solyc01g079630	0.61062
Solyc01g079640	2.25864
Solyc01g079650	0.29426
Solyc01g079660	0.55563
Solyc01g079670	0.11072
Solyc01g079680	0.20268
